,0,1,2,3,4,5,6,7,8,9,10,11
0,1,1,2,1,2,1,0,1,1,2,881,45
1,1,1,2,1,2,2,1,2,1,2,760,53
2,1,1,2,1,3,1,0,1,1,2,1819,62
3,1,1,2,1,3,1,0,1,1,3,1047,31
4,1,1,2,1,3,2,1,2,1,2,1862,100
5,1,1,2,1,3,2,1,2,1,3,797,21
6,1,1,2,1,4,1,0,1,1,2,221,5
7,1,1,2,1,4,1,0,1,1,3,618,21
8,1,1,2,1,4,1,0,1,1,4,195,0
9,1,1,2,1,4,2,1,2,1,2,295,10
10,1,1,2,1,4,2,1,2,1,3,567,35
11,1,1,2,1,4,2,1,2,1,4,79,0
12,1,1,2,2,2,1,0,1,1,2,2533,94
13,1,1,2,2,2,1,0,1,2,2,14616,488
14,1,1,2,2,2,2,1,2,1,2,6826,371
15,1,1,2,2,2,2,1,2,2,2,8837,475
16,1,1,2,2,3,1,0,1,1,2,5413,194
17,1,1,2,2,3,1,0,1,1,3,3267,110
18,1,1,2,2,3,1,0,1,2,2,30694,1081
19,1,1,2,2,3,1,0,1,2,3,18241,468
20,1,1,2,2,3,2,1,2,1,2,16221,908
21,1,1,2,2,3,2,1,2,1,3,6488,329
22,1,1,2,2,3,2,1,2,2,2,20858,1068
23,1,1,2,2,3,2,1,2,2,3,8563,368
24,1,1,2,2,4,1,0,1,1,2,642,29
25,1,1,2,2,4,1,0,1,1,3,1674,61
26,1,1,2,2,4,1,0,1,1,4,609,0
27,1,1,2,2,4,1,0,1,2,2,3553,125
28,1,1,2,2,4,1,0,1,2,3,10398,266
29,1,1,2,2,4,1,0,1,2,4,3239,5
30,1,1,2,2,4,2,1,2,1,2,2479,138
31,1,1,2,2,4,2,1,2,1,3,4685,199
32,1,1,2,2,4,2,1,2,1,4,675,6
33,1,1,2,2,4,2,1,2,2,2,3289,177
34,1,1,2,2,4,2,1,2,2,3,6170,311
35,1,1,2,2,4,2,1,2,2,4,831,0
36,1,1,2,3,2,1,0,1,1,2,1029,41
37,1,1,2,3,2,1,0,1,2,2,4566,174
38,1,1,2,3,2,1,0,1,3,2,5729,153
39,1,1,2,3,2,2,1,2,1,2,3342,196
40,1,1,2,3,2,2,1,2,2,2,5359,311
41,1,1,2,3,2,2,1,2,3,2,1758,95
42,1,1,2,3,3,1,0,1,1,2,2116,98
43,1,1,2,3,3,1,0,1,1,3,1259,33
44,1,1,2,3,3,1,0,1,2,2,9963,385
45,1,1,2,3,3,1,0,1,2,3,5949,167
46,1,1,2,3,3,1,0,1,3,2,11988,310
47,1,1,2,3,3,1,0,1,3,3,7202,151
48,1,1,2,3,3,2,1,2,1,2,8054,485
49,1,1,2,3,3,2,1,2,1,3,3285,151
50,1,1,2,3,3,2,1,2,2,2,12718,701
51,1,1,2,3,3,2,1,2,2,3,5248,230
52,1,1,2,3,3,2,1,2,3,2,4138,179
53,1,1,2,3,3,2,1,2,3,3,1692,44
54,1,1,2,3,4,1,0,1,1,2,255,10
55,1,1,2,3,4,1,0,1,1,3,717,12
56,1,1,2,3,4,1,0,1,1,4,256,0
57,1,1,2,3,4,1,0,1,2,2,1217,45
58,1,1,2,3,4,1,0,1,2,3,3203,92
59,1,1,2,3,4,1,0,1,2,4,1054,3
60,1,1,2,3,4,1,0,1,3,2,1322,34
61,1,1,2,3,4,1,0,1,3,3,4028,85
62,1,1,2,3,4,1,0,1,3,4,1312,2
63,1,1,2,3,4,2,1,2,1,2,1209,63
64,1,1,2,3,4,2,1,2,1,3,2422,113
65,1,1,2,3,4,2,1,2,1,4,368,3
66,1,1,2,3,4,2,1,2,2,2,1935,111
67,1,1,2,3,4,2,1,2,2,3,3728,175
68,1,1,2,3,4,2,1,2,2,4,490,0
69,1,1,2,3,4,2,1,2,3,2,630,30
70,1,1,2,3,4,2,1,2,3,3,1238,36
71,1,1,2,3,4,2,1,2,3,4,162,0
72,1,1,2,4,2,1,0,1,2,2,1183,42
73,1,1,2,4,2,1,0,1,3,2,1037,28
74,1,1,2,4,2,1,0,1,4,2,1023,4
75,1,1,2,4,2,2,1,2,1,2,625,36
76,1,1,2,4,2,2,1,2,2,2,1586,64
77,1,1,2,4,2,2,1,2,3,2,589,34
78,1,1,2,4,2,2,1,2,4,2,131,0
79,1,1,2,4,3,1,0,1,2,2,2452,103
80,1,1,2,4,3,1,0,1,2,3,1504,40
81,1,1,2,4,3,1,0,1,3,2,2197,58
82,1,1,2,4,3,1,0,1,3,3,1389,29
83,1,1,2,4,3,1,0,1,4,2,2154,19
84,1,1,2,4,3,1,0,1,4,3,1255,6
85,1,1,2,4,3,2,1,2,1,2,1607,86
86,1,1,2,4,3,2,1,2,1,3,672,29
87,1,1,2,4,3,2,1,2,2,2,3757,204
88,1,1,2,4,3,2,1,2,2,3,1589,68
89,1,1,2,4,3,2,1,2,3,2,1441,69
90,1,1,2,4,3,2,1,2,3,3,561,17
91,1,1,2,4,3,2,1,2,4,2,282,4
92,1,1,2,4,3,2,1,2,4,3,128,0
93,1,1,2,4,4,1,0,1,2,2,312,17
94,1,1,2,4,4,1,0,1,2,3,806,26
95,1,1,2,4,4,1,0,1,2,4,289,0
96,1,1,2,4,4,1,0,1,3,2,232,10
97,1,1,2,4,4,1,0,1,3,3,736,14
98,1,1,2,4,4,1,0,1,3,4,260,0
99,1,1,2,4,4,1,0,1,4,2,214,2
100,1,1,2,4,4,1,0,1,4,3,744,5
101,1,1,2,4,4,1,0,1,4,4,223,2
102,1,1,2,4,4,2,1,2,1,2,219,9
103,1,1,2,4,4,2,1,2,1,3,467,28
104,1,1,2,4,4,2,1,2,1,4,51,1
105,1,1,2,4,4,2,1,2,2,2,621,29
106,1,1,2,4,4,2,1,2,2,3,1194,58
107,1,1,2,4,4,2,1,2,2,4,136,0
108,1,1,2,4,4,2,1,2,3,2,230,13
109,1,1,2,4,4,2,1,2,3,3,419,18
110,1,1,2,4,4,2,1,2,3,4,62,0
111,1,1,2,4,4,2,1,2,4,2,33,1
112,1,1,2,4,4,2,1,2,4,3,85,0
113,1,1,2,4,4,2,1,2,4,4,7,0
114,1,1,3,1,2,1,0,1,1,2,186,169
115,1,1,3,1,2,2,1,2,1,2,709,649
116,1,1,3,1,2,2,1,3,1,2,350,58
117,1,1,3,1,3,1,0,1,1,2,227,213
118,1,1,3,1,3,1,0,1,1,3,198,149
119,1,1,3,1,3,2,1,2,1,2,1139,1043
120,1,1,3,1,3,2,1,2,1,3,646,496
121,1,1,3,1,3,2,1,3,1,2,771,129
122,1,1,3,1,3,2,1,3,1,3,167,17
123,1,1,3,1,4,1,0,1,1,3,75,61
124,1,1,3,1,4,1,0,1,1,4,34,4
125,1,1,3,1,4,2,1,2,1,2,135,126
126,1,1,3,1,4,2,1,2,1,3,270,215
127,1,1,3,1,4,2,1,2,1,4,69,10
128,1,1,3,1,4,2,1,3,1,2,111,17
129,1,1,3,1,4,2,1,3,1,3,99,22
130,1,1,3,2,2,1,0,1,2,2,744,628
131,1,1,3,2,2,2,1,2,1,2,994,921
132,1,1,3,2,2,2,1,2,2,2,2146,1883
133,1,1,3,2,2,2,1,3,1,2,1057,196
134,1,1,3,2,2,2,1,3,2,2,526,86
135,1,1,3,2,3,1,0,1,2,2,1134,978
136,1,1,3,2,3,1,0,1,2,3,847,620
137,1,1,3,2,3,2,1,2,1,2,1605,1481
138,1,1,3,2,3,2,1,2,1,3,945,730
139,1,1,3,2,3,2,1,2,2,2,3493,3119
140,1,1,3,2,3,2,1,2,2,3,2082,1546
141,1,1,3,2,3,2,1,3,1,2,2347,440
142,1,1,3,2,3,2,1,3,1,3,486,45
143,1,1,3,2,3,2,1,3,2,2,1123,213
144,1,1,3,2,3,2,1,3,2,3,282,36
145,1,1,3,2,4,1,0,1,2,3,334,253
146,1,1,3,2,4,1,0,1,2,4,172,15
147,1,1,3,2,4,2,1,2,1,2,145,136
148,1,1,3,2,4,2,1,2,1,3,394,326
149,1,1,3,2,4,2,1,2,1,4,103,16
150,1,1,3,2,4,2,1,2,2,2,337,295
