,0,1,2,3,4,5,6,7,8,9,10,11
0,1,1,2,1,2,1,0,1,1,1,27752,7050
1,1,1,2,1,2,1,0,1,1,2,29201,6793
2,1,1,2,1,2,2,1,2,1,1,15200,2802
3,1,1,2,1,2,2,1,2,1,2,9293,1520
4,1,1,2,1,3,1,0,1,1,1,4659,1391
5,1,1,2,1,3,1,0,1,1,2,18752,5042
6,1,1,2,1,3,1,0,1,1,3,3914,754
7,1,1,2,1,3,2,1,2,1,1,3517,749
8,1,1,2,1,3,2,1,2,1,2,8158,1719
9,1,1,2,1,4,1,0,1,1,2,1166,641
10,1,1,2,1,4,1,0,1,1,3,1512,654
11,1,1,2,1,4,2,1,2,1,2,1112,550
12,1,1,2,2,2,1,0,1,1,1,18461,4734
13,1,1,2,2,2,1,0,1,1,2,19732,4755
14,1,1,2,2,2,1,0,1,2,1,20473,4771
15,1,1,2,2,2,1,0,1,2,2,20621,4519
16,1,1,2,2,2,2,1,2,1,1,18594,3420
17,1,1,2,2,2,2,1,2,1,2,11100,1817
18,1,1,2,2,2,2,1,2,2,1,2703,566
19,1,1,2,2,2,2,1,2,2,2,1628,291
20,1,1,2,2,3,1,0,1,1,1,3358,1036
21,1,1,2,2,3,1,0,1,1,2,12187,3254
22,1,1,2,2,3,1,0,1,1,3,2730,536
23,1,1,2,2,3,1,0,1,2,1,3153,911
24,1,1,2,2,3,1,0,1,2,2,13828,3411
25,1,1,2,2,3,1,0,1,2,3,2774,484
26,1,1,2,2,3,2,1,2,1,1,4232,901
27,1,1,2,2,3,2,1,2,1,2,9835,2030
28,1,1,2,2,3,2,1,2,2,1,654,156
29,1,1,2,2,3,2,1,2,2,2,1440,312
30,1,1,2,2,4,1,0,1,1,2,807,436
31,1,1,2,2,4,1,0,1,1,3,1002,418
32,1,1,2,2,4,1,0,1,2,2,788,413
33,1,1,2,2,4,1,0,1,2,3,1125,441
34,1,1,2,2,4,2,1,2,1,2,1441,690
35,1,1,2,2,4,2,1,2,2,2,190,89
36,1,1,2,3,2,1,0,1,1,1,1645,450
37,1,1,2,3,2,1,0,1,1,2,1787,450
38,1,1,2,3,2,1,0,1,2,1,2949,752
39,1,1,2,3,2,1,0,1,2,2,3046,737
40,1,1,2,3,2,1,0,1,3,1,1330,255
41,1,1,2,3,2,1,0,1,3,2,1339,239
42,1,1,2,3,2,2,1,2,1,1,2704,552
43,1,1,2,3,2,2,1,2,1,2,1612,298
44,1,1,2,3,2,2,1,2,2,1,546,108
45,1,1,2,3,2,2,1,2,2,2,361,71
46,1,1,2,3,3,1,0,1,1,1,333,100
47,1,1,2,3,3,1,0,1,1,2,1083,333
48,1,1,2,3,3,1,0,1,1,3,259,37
49,1,1,2,3,3,1,0,1,2,1,477,155
50,1,1,2,3,3,1,0,1,2,2,2017,529
51,1,1,2,3,3,1,0,1,2,3,353,63
52,1,1,2,3,3,1,0,1,3,1,151,41
53,1,1,2,3,3,1,0,1,3,2,912,207
54,1,1,2,3,3,1,0,1,3,3,160,25
55,1,1,2,3,3,2,1,2,1,1,621,141
56,1,1,2,3,3,2,1,2,1,2,1446,293
57,1,1,2,3,3,2,1,2,2,1,123,28
58,1,1,2,3,3,2,1,2,2,2,271,54
59,1,1,2,3,4,1,0,1,1,2,84,52
60,1,1,2,3,4,1,0,1,1,3,86,36
61,1,1,2,3,4,1,0,1,2,2,119,66
62,1,1,2,3,4,1,0,1,2,3,175,71
63,1,1,2,3,4,1,0,1,3,2,39,20
64,1,1,2,3,4,1,0,1,3,3,85,28
65,1,1,2,3,4,2,1,2,1,2,203,105
66,1,1,2,3,4,2,1,2,2,2,56,22
67,1,1,2,4,2,1,0,1,2,1,205,70
68,1,1,2,4,2,1,0,1,2,2,205,58
69,1,1,2,4,2,1,0,1,3,1,170,36
70,1,1,2,4,2,1,0,1,3,2,143,30
71,1,1,2,4,2,2,1,2,1,1,113,27
72,1,1,2,4,2,2,1,2,1,2,71,15
73,1,1,2,4,2,2,1,2,2,1,54,14
74,1,1,2,4,2,2,1,2,2,2,39,11
75,1,1,2,4,3,1,0,1,2,1,43,16
76,1,1,2,4,3,1,0,1,2,2,125,43
77,1,1,2,4,3,1,0,1,2,3,34,8
78,1,1,2,4,3,1,0,1,3,1,18,12
79,1,1,2,4,3,1,0,1,3,2,93,21
80,1,1,2,4,3,1,0,1,3,3,14,4
81,1,1,2,4,3,2,1,2,1,1,24,6
82,1,1,2,4,3,2,1,2,1,2,59,15
83,1,1,2,4,3,2,1,2,2,1,15,4
84,1,1,2,4,3,2,1,2,2,2,34,12
85,1,1,2,4,4,1,0,1,2,2,11,5
86,1,1,2,4,4,1,0,1,2,3,14,5
87,1,1,2,4,4,1,0,1,3,2,4,1
88,1,1,2,4,4,1,0,1,3,3,7,0
89,1,1,2,4,4,2,1,2,1,2,5,2
90,1,1,2,4,4,2,1,2,2,2,2,1
91,1,1,3,1,2,1,0,1,1,1,1201,1019
92,1,1,3,1,2,1,0,1,1,2,1398,1046
93,1,1,3,1,2,2,1,2,1,1,2866,2396
94,1,1,3,1,2,2,1,2,1,2,2449,1865
95,1,1,3,1,2,2,1,3,1,1,840,309
96,1,1,3,1,3,1,0,1,1,2,424,343
97,1,1,3,1,3,1,0,1,1,3,206,117
98,1,1,3,1,3,2,1,2,1,1,429,364
99,1,1,3,1,3,2,1,2,1,2,813,663
100,1,1,3,1,3,2,1,3,1,1,200,76
101,1,1,3,2,2,1,0,1,2,1,573,479
102,1,1,3,2,2,1,0,1,2,2,647,458
103,1,1,3,2,2,2,1,2,1,1,1017,832
104,1,1,3,2,2,2,1,2,1,2,820,634
105,1,1,3,2,2,2,1,2,2,1,289,246
106,1,1,3,2,2,2,1,2,2,2,285,189
107,1,1,3,2,2,2,1,3,1,1,388,131
108,1,1,3,2,3,1,0,1,2,2,185,142
109,1,1,3,2,3,1,0,1,2,3,87,46
110,1,1,3,2,3,2,1,2,1,1,126,108
111,1,1,3,2,3,2,1,2,1,2,288,235
112,1,1,3,2,3,2,1,2,2,1,48,37
113,1,1,3,2,3,2,1,2,2,2,96,80
114,1,1,3,2,3,2,1,3,1,1,94,45
115,1,1,3,3,2,1,0,1,3,1,21,19
116,1,1,3,3,2,1,0,1,3,2,31,20
117,1,1,3,3,2,2,1,2,1,1,33,28
118,1,1,3,3,2,2,1,2,1,2,24,19
119,1,1,3,3,2,2,1,2,2,1,35,30
120,1,1,3,3,2,2,1,2,2,2,29,22
121,1,1,3,3,2,2,1,3,1,1,21,10
122,1,1,3,3,3,1,0,1,3,2,9,6
123,1,1,3,3,3,1,0,1,3,3,3,2
124,1,1,3,3,3,2,1,2,1,1,1,1
125,1,1,3,3,3,2,1,2,1,2,10,9
126,1,1,3,3,3,2,1,2,2,1,4,3
127,1,1,3,3,3,2,1,2,2,2,13,10
128,1,1,3,3,3,2,1,3,1,1,4,0
129,1,1,4,1,2,2,1,2,1,1,56,56
130,1,1,4,1,2,2,1,2,1,2,60,60
131,1,1,4,1,2,2,1,3,1,1,75,75
132,1,1,4,2,2,2,1,2,2,1,8,8
133,1,1,4,2,2,2,1,2,2,2,6,6
134,1,1,4,2,2,2,1,3,1,1,5,5
135,1,2,3,1,2,1,1,2,1,1,152,133
136,1,2,3,1,2,1,1,2,1,2,162,138
137,1,2,3,1,2,2,1,2,1,1,297,276
138,1,2,3,1,2,2,1,2,1,2,325,273
139,1,2,3,1,2,2,1,3,1,1,114,85
140,1,2,3,2,2,1,1,2,2,1,11,7
141,1,2,3,2,2,1,1,2,2,2,14,12
142,1,2,3,2,2,2,1,2,2,1,24,23
143,1,2,3,2,2,2,1,2,2,2,24,18
144,1,2,3,2,2,2,1,3,1,1,14,9
145,2,1,2,1,2,1,0,1,1,1,18742,4875
146,2,1,2,1,2,1,0,1,1,2,19404,4568
147,2,1,2,1,2,2,1,2,1,1,10154,1951
148,2,1,2,1,2,2,1,2,1,2,6198,1034
149,2,1,2,1,3,1,0,1,1,1,3073,961
150,2,1,2,1,3,1,0,1,1,2,12297,3411
151,2,1,2,1,3,1,0,1,1,3,2520,463
152,2,1,2,1,3,2,1,2,1,1,2295,495
153,2,1,2,1,3,2,1,2,1,2,5422,1171
154,2,1,2,1,4,1,0,1,1,2,776,426
155,2,1,2,1,4,1,0,1,1,3,1037,487
156,2,1,2,1,4,2,1,2,1,2,806,397
157,2,1,2,2,2,1,0,1,1,1,19716,5077
158,2,1,2,2,2,1,0,1,1,2,20492,4923
