,0,1,2,3,4,5,6
0,1,1,2,1,1,44979,12619
1,2,0,1,2,1,90501,16132
2,2,0,1,2,2,30344,6652
3,2,1,2,1,1,45125,13055
4,3,0,1,1,1,90395,16512
5,3,0,1,1,2,30131,6789
6,3,0,1,2,1,90897,17824
7,3,0,1,2,2,29822,6937
8,3,1,2,1,1,45146,13465
9,4,0,1,1,1,180767,35233
10,4,0,1,1,2,60254,14132
11,4,0,1,2,1,90133,19474
12,4,0,1,2,2,30047,7561
13,4,1,2,1,1,44972,13848
14,5,0,1,1,1,271227,56268
15,5,0,1,1,2,90706,22692
16,5,0,1,2,1,90022,21329
17,5,0,1,2,2,30237,8066
18,5,1,2,1,1,45164,14368
19,6,0,1,1,1,362011,74547
20,6,0,1,1,2,121076,29473
21,6,0,1,2,1,90056,21890
22,6,0,1,2,2,30387,8445
23,6,1,2,1,1,45719,15027
24,7,0,1,1,1,452064,95437
25,7,0,1,1,2,151073,37848
26,7,0,1,2,1,90769,23167
27,7,0,1,2,2,30220,8711
28,7,1,2,1,1,45559,15771
29,8,0,1,1,1,542872,118713
30,8,0,1,1,2,181004,46100
31,8,0,1,2,1,90454,23897
32,8,0,1,2,2,30142,9161
33,8,1,2,1,1,45441,16673
34,9,0,1,1,1,633933,145508
35,9,0,1,1,2,211297,56227
36,9,0,1,2,1,90383,25780
37,9,0,1,2,2,30251,9774
38,9,1,2,1,1,45445,18050
39,10,0,1,1,1,723598,173260
40,10,0,1,1,2,242385,67363
41,10,0,1,2,1,90283,28015
42,10,0,1,2,2,30124,10181
43,10,1,2,1,1,44992,19203
44,11,0,1,1,1,815598,206327
45,11,0,1,1,2,270843,78555
46,11,0,1,2,1,90613,28702
47,11,0,1,2,2,29984,10476
48,11,1,2,1,1,45037,20762
49,12,0,1,1,1,903774,242738
50,12,0,1,1,2,300823,91486
51,12,0,1,2,1,90142,29646
52,12,0,1,2,2,30055,10864
53,12,1,2,1,1,45214,23035
54,13,0,1,1,1,997339,285694
55,13,0,1,1,2,332674,107630
56,13,0,1,2,1,90330,31432
57,13,0,1,2,2,29808,11431
58,13,1,2,1,1,45359,25694
